code.int32(),name.string(),market.string(),code_of_industry_33.int32(),industry_33.string(),code_of_industry_17.int32(),industry_17.string(),code_of_group.int32(),group.string()
8929,青山財産ネットワークス,市場第二部（内国株）,8050,不動産業,17,不動産,,
8931,和田興産,市場第二部（内国株）,8050,不動産業,17,不動産,,
8934,サンフロンティア不動産,市場第一部（内国株）,8050,不動産業,17,不動産,6,TOPIX Small 1
8935,ＦＪネクストホールディングス,市場第一部（内国株）,8050,不動産業,17,不動産,7,TOPIX Small 2
8938,グローム・ホールディングス,JASDAQ(グロース・内国株）,8050,不動産業,17,不動産,,
8940,インテリックス,市場第一部（内国株）,8050,不動産業,17,不動産,7,TOPIX Small 2
8944,ランドビジネス,市場第一部（内国株）,8050,不動産業,17,不動産,7,TOPIX Small 2
8945,サンネクスタグループ,市場第一部（内国株）,8050,不動産業,17,不動産,7,TOPIX Small 2
8946,ＡＳＩＡＮ　ＳＴＡＲ,JASDAQ(スタンダード・内国株）,8050,不動産業,17,不動産,,
8995,誠建設工業,市場第二部（内国株）,8050,不動産業,17,不動産,,
8999,グランディハウス,市場第一部（内国株）,8050,不動産業,17,不動産,7,TOPIX Small 2
9001,東武鉄道,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9003,相鉄ホールディングス,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9005,東急,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9006,京浜急行電鉄,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9007,小田急電鉄,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9008,京王電鉄,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9009,京成電鉄,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9010,富士急行,市場第一部（内国株）,5050,陸運業,12,運輸・物流,6,TOPIX Small 1
9012,秩父鉄道,JASDAQ(スタンダード・内国株）,5050,陸運業,12,運輸・物流,,
9014,新京成電鉄,市場第一部（内国株）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
9017,新潟交通,市場第二部（内国株）,5050,陸運業,12,運輸・物流,,
9020,東日本旅客鉄道,市場第一部（内国株）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
9021,西日本旅客鉄道,市場第一部（内国株）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
9022,東海旅客鉄道,市場第一部（内国株）,5050,陸運業,12,運輸・物流,2,TOPIX Large70
9024,西武ホールディングス,市場第一部（内国株）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
9025,鴻池運輸,市場第一部（内国株）,5050,陸運業,12,運輸・物流,7,TOPIX Small 2
9028,ゼロ,市場第二部（内国株）,5050,陸運業,12,運輸・物流,,
9029,ヒガシトゥエンティワン,市場第二部（内国株）,5050,陸運業,12,運輸・物流,,
